자치구,전체인구수,장애인인구수,총 충전소,역 내 충전소,역 밖 충전소,장애인인구비율
종로구,157967,5929,24,0,24,0.037533155659093355
중구,129797,5634,24,0,24,0.043406242054901116
용산구,226938,7686,29,14,15,0.03386828120455807
성동구,306796,11284,17,4,13,0.03678014054942046
광진구,362304,12253,18,4,14,0.033819665253488784
동대문구,358141,15518,34,12,22,0.043329303263239895
중랑구,391668,20357,56,24,32,0.05197514221228183
성북구,438734,17382,28,8,20,0.039618538795716765
강북구,309138,17395,44,6,38,0.05626936837270086
도봉구,328243,15300,52,0,52,0.0466118089342347
노원구,534096,26904,80,6,74,0.05037296665767952
은평구,462552,21756,41,14,27,0.04703471177294661
서대문구,318874,12311,44,6,38,0.03860772593563602
마포구,368181,12945,4,4,0,0.03515933739112013
양천구,445591,17525,27,0,27,0.039329788976886874
강서구,578539,28546,70,14,56,0.04934153099445327
구로구,433765,18374,30,10,20,0.042359342040044726
금천구,249344,11458,34,0,34,0.0459525795687885
영등포구,395286,14495,62,0,62,0.0366696518470171
동작구,397980,14417,4,0,4,0.03622543846424443
관악구,510303,20211,59,0,59,0.03960588121175067
서초구,409491,10291,46,18,28,0.025131199464701298
강남구,507810,15182,46,4,42,0.029897008723735255
송파구,638167,20356,43,23,20,0.03189760673930178
강동구,414231,18614,19,6,13,0.04493627951553602
