자치구,lat,long
종로구,37.5949173193145,126.977321294872
중구,37.5601435645512,126.995968139707
용산구,37.5313849658815,126.979906988235
성동구,37.5510296891344,127.041058533321
광진구,37.5467202379314,127.085744097681
동대문구,37.581956547893,127.054848127807
중랑구,37.5978173799249,127.092883176298
성북구,37.6057019023968,127.017579491168
강북구,37.6434739135586,127.011188975239
도봉구,37.6691020802884,127.032368819558
노원구,37.65251104799,127.075034689337
은평구,37.6192112825748,126.927022877199
서대문구,37.5777853091699,126.939063095715
마포구,37.559313492554,126.908270027449
양천구,37.5247894102082,126.855477660234
강서구,37.5612354280122,126.822806689705
구로구,37.4944054285618,126.856300578972
금천구,37.4605675649317,126.900820244409
영등포구,37.5223082885753,126.910169467376
동작구,37.4988768760718,126.951641454383
관악구,37.4673756905879,126.94533715305
서초구,37.4732954673459,127.031220311114
강남구,37.4966438942877,127.062985204247
송파구,37.5056192415444,127.115295039723
강동구,37.5504502432305,127.147011841765
