자치구,역명,lat,long,n
강남구,수서,37.48738773,127.101893,2
강남구,선릉,37.50450288,127.0489425,2
용산구,삼각지,37.5344034,126.9733574,2
용산구,숙대입구,37.54549626,126.9722388,2
서대문구,무악재,37.5824248,126.9505791,2
서대문구,충정로,37.5598378,126.964474,2
마포구,이대,37.5565093,126.9454858,2
마포구,아현,37.5571213,126.9557107,2
서대문구,독립문,37.57610554,126.9554446,2
서초구,내방,37.48753236,126.9931886,2
서초구,이수,37.48423356,126.9824386,2
서초구,사당,37.47655368,126.9847738,2
서초구,잠원,37.51279984,127.0112204,2
서초구,서초,37.49182471,127.0075807,2
서초구,고속터미널,37.50464799,127.0044424,2
서초구,논현,37.50791567,127.0172231,2
서초구,반포,37.50621932,127.0050533,2
서초구,고속터미널,37.50464799,127.0044424,2
용산구,서울,37.55483769,126.9717341,2
용산구,서울특별시 용산,37.5297736,126.9647427,2
용산구,남영,37.54056577,126.9713321,2
용산구,서빙고,37.51995392,126.9900486,2
용산구,한남,37.52918752,127.0082497,2
노원구,7호선 중계,37.6448902,127.064246,2
노원구,7호선 하계,37.6364513,127.067987,2
노원구,7호선 노원,37.6562685,127.0626376,2
송파구,석촌,37.505948,127.106344,2
송파구,장지,37.47812,127.126424,2
송파구,삼전,37.5043233109,127.0880837903,2
송파구,석촌고분,37.502489,127.0968847883,2
송파구,석촌,37.5051,127.107117,2
송파구,송파나루,37.5103503787,127.112232044,2
송파구,한성백제,37.5163401025,127.1161140444,2
송파구,올림픽공원,37.516887,127.130919,2
강북구,수유,37.6378485,127.0252882,2
강북구,미아사거리,37.61387407,127.0301002,2
강북구,가오리,37.64162714,127.016776,2
송파구,복정,37.471055,127.12677,1
송파구,종합운동장,37.510968,127.073356,1
송파구,잠실,37.514978,127.104217,1
송파구,몽촌토성,37.517623,127.112428,1
송파구,올림픽공원,37.516087,127.130601,1
송파구,마천,37.494639,127.152027,1
송파구,가락시장,37.492742,127.118484,1
동대문구,회기,37.59021215,127.0576234,2
동대문구,고려대,37.59039953,127.0367126,2
동대문구,답십리,37.56645778,127.053853,2
동대문구,장한평,37.56201341,127.0641782,2
동대문구,제기동,37.57820141,127.0346906,2
동대문구,청량리,37.58089358,127.0455726,2
구로구,신도림,37.50877132,126.891082,2
구로구,천왕,37.48682059,126.8387128,2
구로구,온수,37.49215065,126.8233816,2
구로구,구일,37.49639172,126.8699216,2
구로구,대림,37.49330996,126.8949446,2
광진구,건대입구,37.54041925,127.0691712,2
광진구,군자,37.55720376,127.0794903,2
성북구,한성대,37.5883949,127.0059503,2
성북구,보문,37.5855494,127.0194893,2
성북구,돌곶이,37.6105507,127.0564252,2
성북구,월곡,37.6048926,127.0438114,2
은평구,증산,37.58421654,126.9100346,2
은평구,새절,37.59184178,126.9138891,2
은평구,응암,37.59875465,126.9154879,2
은평구,촌,37.60604524,126.9229823,2
은평구,연신내,37.61896756,126.9211781,2
은평구,독바위,37.61840901,126.9328282,2
은평구,불광,37.61035033,126.9299735,2
강서구,가양,37.561554,126.854388,2
강동구,강동구청,37.53067409,127.1205761,2
강동구,중앙보훈병원,37.52889572,127.148542,2
강동구,둔촌,37.52813554,127.1363753,2
강서구,마곡나루,37.566793,126.827518,2
강서구,양천향교,37.568761,126.840818,2
강서구,가양,37.561554,126.854388,2
강서구,방화,37.577003,126.81263,2
강서구,개화산,37.57227,126.806002,2
강서구,김포공항,37.572353,126.801812,2
중랑구,망우,37.5992876153,127.0927565778,2
중랑구,먹골,37.6106250591,127.0777647987,2
중랑구,면목,37.5883848968,127.0875678415,2
중랑구,봉화산,37.6176537624,127.0907581295,2
중랑구,사가정,37.5807945533,127.0884390584,2
중랑구,상봉,37.5967137844,127.0854367651,2
중랑구,신내,37.6127905258,127.1032220493,2
중랑구,양원,37.6065543615,127.107921489,2
중랑구,용마산,37.5740302107,127.0870381147,2
중랑구,중랑,37.594824096,127.0757289566,2
중랑구,중화,37.6015796992,127.0794692049,2
중랑구,화랑대,37.6198943887,127.0837446243,2
성동구,마장,37.5657029568,127.0427582274,1
성동구,신금호,37.5544212441,127.0204207207,1
성동구,왕십리,37.561268,127.038004,1
성동구,상왕십리,37.5644673598,127.0290302021,1
